C,Vp,K,C,Vp,K,C,Vp,K,C,Vp,K
25,4.28,298.15,60,1.37,333.15,100,0.31,373.15,140,0.09,413.15
25,4.27,298.15,61,1.31,334.15,101,0.3,374.15,141,0.08,414.15
25,4.24,298.15,62,1.31,335.15,102,0.29,375.15,142,0.08,415.15
27,4.2,300.15,63,1.26,336.15,103,0.28,376.15,143,0.08,416.15
27,4.15,300.15,64,1.21,337.15,104,0.28,377.15,144,0.08,417.15
28,4.1,301.15,65,1.16,338.15,105,0.27,378.15,145,0.07,418.15
29,4.03,302.15,66,1.11,339.15,106,0.26,379.15,146,0.07,419.15
30,3.95,303.15,67,1.06,340.15,107,0.25,380.15,147,0.07,420.15
30,3.87,303.15,68,1.02,341.15,108,0.24,381.15,148,0.07,421.15
31,3.87,304.15,69,0.98,342.15,109,0.23,382.15,149,0.07,422.15
31,3.78,304.15,70,0.98,343.15,110,0.22,383.15,150,0.06,423.15
32,3.78,305.15,71,0.9,344.15,111,0.21,384.15,151,0.06,424.15
33,3.69,306.15,72,0.87,345.15,112,0.21,385.15,152,0.06,425.15
33,3.59,306.15,73,0.83,346.15,113,0.2,386.15,153,0.06,426.15
34,3.49,307.15,74,0.8,347.15,114,0.2,387.15,154,0.06,427.15
35,3.39,308.15,75,0.77,348.15,115,0.19,388.15,155,0.05,428.15
36,3.29,309.15,76,0.74,349.15,116,0.18,389.15,156,0.05,429.15
37,3.18,310.15,77,0.71,350.15,117,0.17,390.15,157,0.05,430.15
38,3.08,311.15,78,0.68,351.15,118,0.17,391.15,158,0.05,431.15
39,2.97,312.15,79,0.66,352.15,119,0.16,392.15,159,0.05,432.15
40,2.97,313.15,80,0.63,353.15,120,0.16,393.15,160,0.05,433.15
41,2.87,314.15,81,0.61,354.15,121,0.15,394.15,161,0.05,434.15
42,2.76,315.15,82,0.59,355.15,122,0.15,395.15,162,0.05,435.15
43,2.56,316.15,83,0.57,356.15,123,0.14,396.15,163,0.04,436.15
44,2.56,317.15,84,0.57,357.15,124,0.14,397.15,164,0.04,437.15
45,2.46,318.15,85,0.55,358.15,125,0.13,398.15,165,0.04,438.15
46,2.37,319.15,86,0.51,359.15,126,0.13,399.15,166,0.04,439.15
47,2.27,320.15,87,0.49,360.15,127,0.12,400.15,167,0.04,440.15
48,2.17,321.15,88,0.47,361.15,128,0.12,401.15,168,0.04,441.15
49,2.07,322.15,89,0.46,362.15,129,0.12,402.15,169,0.03,442.15
50,2.01,323.15,90,0.44,363.15,130,0.12,403.15,170,0.03,443.15
51,1.92,324.15,91,0.43,364.15,131,0.11,404.15,171,0.03,444.15
52,1.88,325.15,92,0.41,365.15,132,0.11,405.15,,,
53,1.84,326.15,93,0.4,366.15,133,0.11,406.15,,,
54,1.77,327.15,94,0.39,367.15,134,0.1,407.15,,,
55,1.77,328.15,95,0.35,368.15,135,0.1,408.15,,,
56,1.77,329.15,96,0.35,369.15,136,0.1,409.15,,,
57,1.75,330.15,97,0.34,370.15,137,0.09,410.15,,,
58,1.48,331.15,98,0.33,371.15,138,0.09,411.15,,,
59,1.43,332.15,99,0.32,372.15,139,0.09,412.15,,,
